"Figure 3. Rate of Temperature Change in the United States, 1901-2020",
Source: EPA's Climate Change Indicators in the United States: www.epa.gov/climate-indicators,
"Data source: NOAA, 2021",
Web update: April 2021,
Units: °F per century,
,
Climate Division,Temperature Change
101,0.119195199
102,0.193497234
103,-0.241072875
104,0.243636711
105,0.184219969
106,-0.011838206
107,-0.077250735
108,0.462983541
201,2.301872815
202,1.751391879
203,2.533176494
204,2.346910665
205,2.973956525
206,2.901931847
207,1.840995902
301,0.505295507
302,0.789988309
303,0.699828692
304,0.398771905
305,0.214100516
306,0.386207376
307,0.202019237
308,-0.079018798
309,0.506777091
401,1.922294951
402,1.67201426
403,1.948934532
404,2.671603352
405,1.980209853
406,3.449180499
407,2.84055027
501,1.486538417
502,2.738063407
503,2.361871195
504,2.227015186
505,1.53699331
601,2.692967683
602,2.807365095
603,3.116012107
701,2.621142672
702,2.736356113
801,0.493992638
802,1.30768051
803,2.069608422
804,2.234206079
805,2.452192861
806,2.810452693
807,2.837888048
901,0.189744079
902,0.304115448
903,0.509578211
904,0.566367456
905,0.814715142
906,1.00612311
907,0.744872329
908,0.822560016
909,1.109133736
1001,1.566407968
1002,1.807790472
1003,1.875306734
1004,1.834004676
1005,1.331047295
1006,1.322528185
1007,1.884951501
1008,1.887367757
1009,1.471077274
1010,1.524831007
1101,1.488676876
1102,1.660158692
1103,0.75027201
1104,1.589297289
1105,1.689781698
1106,1.102825428
1107,1.164484802
1108,1.064049587
1109,0.669201565
1201,1.764280506
1202,1.737721948
1203,1.835526773
1204,1.113566914
1205,0.857504572
1206,1.175807926
1207,0.975646457
1208,0.775661504
1209,1.014179225
1301,1.320207422
1302,1.129210362
1303,0.994805774
1304,1.103175568
1305,0.749172396
1306,1.064399727
1307,0.766601269
1308,0.509447994
1309,0.640307776
1401,1.804176216
1402,1.182321689
1403,1.085243188
1404,1.80873093
1405,1.47544679
1406,1.102805172
1407,1.397663611
1408,1.098565873
1409,0.573509156
1501,0.338064565
1502,0.740291571
1503,1.002861889
1504,0.335561497
1601,0.41349515
1602,0.648401509
1603,0.724815959
1604,0.432712341
1605,0.168611246
1606,0.358401625
1607,0.01903778
1608,0.475310785
1609,0.767975785
1701,2.621837165
1702,2.820456282
1703,2.935293539
1801,2.466759844
1802,2.34949765
1803,2.085220038
1804,2.335885594
1805,2.241657407
1806,2.426444545
1807,1.696929185
1808,1.066052041
1901,2.493260527
1902,2.658911498
1903,3.065259162
2001,2.488870755
2002,2.420385096
2003,3.091811931
2004,2.76429208
2005,2.199646387
2006,2.396673959
2007,2.514538047
2008,1.930683844
2009,2.031272426
2010,2.387225965
2101,2.610493784
2102,2.900965345
2103,2.742592078
2104,2.130064009
2105,2.291698498
2106,2.738254393
2107,1.457236614
2108,1.271358543
2109,1.600785355
2201,0.185021529
2202,-0.153558117
2203,-0.138632312
2204,0.433088525
2205,0.037256638
2206,-0.210847976
2207,0.223099984
2208,0.147652036
2209,0.044502512
2210,0.588926893
2301,0.914458759
2302,0.93115552
2303,0.939417089
2304,0.618170822
2305,0.568908142
2306,0.375983865
2401,1.905439035
2402,1.902889668
2403,2.432871496
2404,1.66906556
2405,1.725383128
2406,2.456536334
2407,1.858835683
2501,2.266844341
2502,1.367771489
2503,1.067336852
2505,1.020716138
2506,1.431005047
2507,1.481352872
2508,0.900765678
2509,1.153749103
2601,1.869901266
2602,1.464398569
2603,2.778262958
2604,2.318555108
2701,2.525392388
2702,2.659880895
2801,3.270580133
2802,3.0201808
2803,3.447832025
2901,1.60876334
2902,1.544025048
2903,1.555189018
2904,1.307012061
2905,2.239047272
2906,2.500138899
2907,2.596022293
2908,1.83470785
3001,1.26136653
3002,1.717130241
3003,2.167951478
3004,3.537899044
3005,2.596881728
3006,1.380989999
3007,2.412022247
3008,3.03859643
3009,2.096085955
3010,1.533949117
3101,0.609310253
3102,1.282580388
3103,1.342095516
3104,1.097854018
3105,1.093658124
3106,1.12310172
3107,1.215156724
3108,1.128168623
3201,2.510686506
3202,2.466661458
3203,2.358818321
3204,2.315959442
3205,2.246449406
3206,2.08817742
3207,2.201457856
3208,2.106433896
3209,1.953535546
3301,1.746796653
3302,1.199805542
3303,2.286264092
3304,1.377233951
3305,1.219731694
3306,1.457508623
3307,1.662282682
3308,1.57606431
3309,1.067313702
3310,1.102677848
3401,0.995873556
3402,0.856020094
3403,0.2008386
3404,1.070155335
3405,0.315869736
3406,-0.126203787
3407,0.864498692
3408,0.2263178
3409,0.225658032
3501,1.893334607
3502,1.698396301
3503,2.18961965
3504,1.737394958
3505,2.327537213
3506,2.10744091
3507,2.491920735
3508,2.065875524
3509,2.22836366
3601,2.24100632
3602,2.308597819
3603,2.595712665
3604,2.22617022
3605,1.417858879
3606,1.259349608
3607,1.005058222
3608,1.283769706
3609,1.026998403
3610,1.972173994
3701,3.280786281
3801,0.866446165
3802,1.132558395
3803,0.872459314
3804,1.011282612
3805,0.88174526
3806,0.822201195
3807,1.13351911
3901,2.001579971
3902,1.447097021
