Month,Day,Year,1995,1990-2000,Temp_1995_°F
6,1,1995,164,160.91,80.06
6,2,1995,173,168.18,75.92
6,3,1995,160,162.0,75.02
6,4,1995,188,161.09,78.98
6,5,1995,190,165.55,80.06
6,6,1995,189,163.64,87.98
6,7,1995,189,166.09,91.94
6,8,1995,133,168.0,57.92
6,9,1995,163,165.0,69.08
6,10,1995,157,163.73,82.94
6,11,1995,178,165.73,66.92
6,12,1995,161,164.91,73.04
6,13,1995,177,166.55,84.92
6,14,1995,173,160.0,89.96
6,15,1995,161,159.36,89.06
6,16,1995,191,163.45,89.06
6,17,1995,159,158.82,89.96
6,18,1995,187,169.64,93.02
6,19,1995,177,167.82,93.92
6,20,1995,180,164.45,95.0
6,21,1995,181,166.36,86.0
6,22,1995,177,161.18,93.02
6,23,1995,168,162.55,91.04
6,24,1995,166,167.55,93.92
6,25,1995,158,165.18,87.98
6,26,1995,151,159.0,84.02
6,27,1995,160,163.0,80.06
6,28,1995,165,156.73,82.04
6,29,1995,159,162.45,87.08
6,30,1995,156,159.82,82.04
7,1,1995,162,161.27,75.92
7,2,1995,173,157.73,77.0
7,3,1995,169,164.0,82.04
7,4,1995,153,155.36,84.02
7,5,1995,171,165.82,84.92
7,6,1995,152,159.82,78.08
7,7,1995,157,162.91,78.98
7,8,1995,170,163.0,84.02
7,9,1995,150,159.0,84.02
7,10,1995,186,154.45,87.08
7,11,1995,192,159.82,89.06
7,12,1995,160,160.91,96.98
7,13,1995,178,161.64,104.0
7,14,1995,303,169.73,100.04
7,15,1995,499,186.09,98.06
7,16,1995,366,178.0,93.02
7,17,1995,305,180.82,87.08
7,18,1995,221,163.82,86.0
7,19,1995,191,161.0,89.06
7,20,1995,174,160.36,78.98
7,21,1995,149,153.09,84.92
7,22,1995,149,151.18,84.92
7,23,1995,163,159.73,87.08
7,24,1995,172,168.09,89.06
7,25,1995,171,161.73,91.94
7,26,1995,153,158.0,87.08
7,27,1995,175,166.27,89.96
7,28,1995,148,157.27,89.06
7,29,1995,177,164.36,95.0
7,30,1995,153,161.36,96.08
7,31,1995,184,163.55,95.0
8,1,1995,142,164.36,80.96
8,2,1995,129,159.91,78.98
8,3,1995,157,159.0,78.08
8,4,1995,142,156.18,84.92
8,5,1995,147,153.55,87.08
8,6,1995,142,155.82,87.98
8,7,1995,154,160.73,86.0
8,8,1995,172,160.27,87.98
8,9,1995,159,156.91,80.06
8,10,1995,179,165.45,89.06
8,11,1995,160,163.91,93.02
8,12,1995,166,164.27,98.06
8,13,1995,189,162.36,96.08
8,14,1995,190,158.36,95.0
8,15,1995,194,163.45,87.08
8,16,1995,155,157.91,93.92
8,17,1995,167,163.45,93.02
8,18,1995,170,160.18,89.96
8,19,1995,148,158.27,89.06
8,20,1995,141,153.45,82.94
8,21,1995,131,161.27,89.06
8,22,1995,165,164.82,82.94
8,23,1995,180,159.82,87.98
8,24,1995,164,163.73,82.04
8,25,1995,155,160.27,89.96
8,26,1995,171,160.91,91.04
8,27,1995,189,162.36,87.98
8,28,1995,140,162.27,82.04
8,29,1995,152,148.91,87.98
8,30,1995,171,165.45,91.94
8,31,1995,172,158.36,87.08
