Year,All_year,May-Sep
1979,0.24,
1980,2.87,
1981,0.49,
1982,0.32,
1983,0.87,
1984,0.39,
1985,0.47,
1986,0.57,
1987,0.62,
1988,0.86,
1989,0.38,
1990,0.59,
1991,0.39,
1992,0.26,
1993,0.46,
1994,0.38,
1995,1.37,
1996,0.45,
1997,0.35,
1998,0.82,
1999,2.13,3.61
2000,1.07,1.62
2001,1.05,1.73
2002,1.22,1.97
2003,0.94,1.3
2004,0.77,0.9
2005,1.58,2.22
2006,2.08,3.17
2007,1.03,1.66
2008,0.97,1.44
2009,1.15,1.6
2010,1.54,2.4
2011,1.88,3.09
2012,1.51,2.51
2013,1.18,1.94
2014,0.77,1.09
2015,1.05,1.62
2016,1.42,2.34
2017,1.43,2.46
2018,1.64,2.85
