Year,Hot_days,Hot_days_smoothed,Hot_nights,Hot_nights_smoothed
1910,0.074,0.072,0.02,0.021
1911,0.087,0.073,0.031,0.023
1912,0.004,0.08,0.0,0.03
1913,0.155,0.088,0.033,0.039
1914,0.139,0.081,0.117,0.042
1915,0.013,0.065,0.004,0.035
1916,0.005,0.06,0.005,0.027
1917,0.066,0.076,0.013,0.03
1918,0.153,0.096,0.06,0.041
1919,0.153,0.1,0.063,0.056
1920,0.0,0.09,0.001,0.072
1921,0.142,0.076,0.202,0.08
1922,0.052,0.066,0.052,0.071
1923,0.006,0.065,0.031,0.051
1924,0.084,0.072,0.015,0.036
1925,0.142,0.075,0.044,0.028
1926,0.06,0.061,0.028,0.023
1927,0.011,0.045,0.002,0.019
1928,0.004,0.052,0.019,0.02
1929,0.022,0.09,0.009,0.032
1930,0.219,0.139,0.035,0.054
1931,0.256,0.179,0.129,0.082
1932,0.062,0.21,0.063,0.114
1933,0.297,0.237,0.119,0.147
1934,0.411,0.254,0.331,0.174
1935,0.015,0.252,0.017,0.184
1936,0.484,0.228,0.348,0.173
1937,0.13,0.182,0.133,0.136
1938,0.063,0.132,0.035,0.089
1939,0.045,0.1,0.014,0.057
1940,0.193,0.085,0.036,0.051
1941,0.007,0.078,0.096,0.063
1942,0.009,0.081,0.017,0.075
1943,0.197,0.086,0.204,0.072
1944,0.101,0.075,0.001,0.051
1945,0.005,0.049,0.002,0.026
1946,0.007,0.03,0.002,0.014
1947,0.008,0.03,0.007,0.019
1948,0.038,0.043,0.006,0.034
1949,0.116,0.062,0.133,0.045
1950,0.001,0.093,0.0,0.051
1951,0.093,0.14,0.023,0.061
1952,0.322,0.189,0.125,0.079
1953,0.184,0.211,0.067,0.094
1954,0.303,0.193,0.161,0.096
1955,0.091,0.146,0.09,0.079
1956,0.101,0.098,0.02,0.059
1957,0.004,0.07,0.008,0.048
1958,0.06,0.069,0.092,0.049
1959,0.083,0.087,0.046,0.056
1960,0.105,0.104,0.006,0.063
1961,0.218,0.099,0.177,0.067
1962,0.015,0.071,0.0,0.059
1963,0.018,0.037,0.081,0.043
1964,0.004,0.018,0.002,0.025
1965,0.0,0.015,0.0,0.015
1966,0.02,0.02,0.003,0.012
1967,0.06,0.025,0.035,0.012
1968,0.0,0.027,0.0,0.013
1969,0.009,0.029,0.009,0.012
1970,0.089,0.029,0.023,0.013
1971,0.001,0.023,0.005,0.016
1972,0.003,0.015,0.004,0.02
1973,0.016,0.011,0.069,0.022
1974,0.002,0.013,0.0,0.02
1975,0.002,0.021,0.004,0.021
1976,0.068,0.028,0.001,0.028
1977,0.023,0.036,0.107,0.037
1978,0.019,0.055,0.005,0.045
1979,0.002,0.087,0.0,0.058
1980,0.316,0.111,0.165,0.072
1981,0.073,0.109,0.075,0.079
1982,0.002,0.09,0.006,0.078
1983,0.162,0.071,0.176,0.07
1984,0.018,0.056,0.027,0.056
1985,0.03,0.052,0.004,0.047
1986,0.027,0.071,0.024,0.055
1987,0.047,0.103,0.083,0.074
1988,0.356,0.117,0.184,0.083
1989,0.011,0.096,0.014,0.078
1990,0.021,0.06,0.046,0.072
1991,0.034,0.044,0.116,0.073
1992,0.015,0.056,0.046,0.083
1993,0.057,0.086,0.081,0.1
1994,0.236,0.109,0.138,0.117
1995,0.068,0.111,0.183,0.125
1996,0.127,0.099,0.107,0.123
1997,0.005,0.092,0.01,0.122
1998,0.17,0.097,0.286,0.124
1999,0.049,0.113,0.057,0.125
2000,0.16,0.138,0.073,0.136
2001,0.11,0.17,0.137,0.167
2002,0.293,0.188,0.296,0.2
2003,0.263,0.179,0.279,0.216
2004,0.02,0.163,0.063,0.226
2005,0.093,0.171,0.286,0.246
2006,0.311,0.191,0.347,0.256
2007,0.307,0.185,0.33,0.238
2008,0.045,0.156,0.043,0.228
2009,0.043,0.154,0.076,0.273
2010,0.153,0.205,0.557,0.355
2011,0.364,0.265,0.568,0.401
2012,0.489,0.272,0.304,0.384
2013,0.144,0.222,0.364,0.344
2014,0.039,0.172,0.173,0.337
2015,0.118,0.17,0.386,0.371
2016,0.271,0.202,0.543,0.415
2017,0.264,0.227,0.338,0.436
2018,0.263,0.235,0.627,0.434
2019,0.099,0.248,0.191,0.432
2020,0.347,0.281,0.514,0.45
