State,Winter,Spring,Summer,Fall
AL,0.78,-0.14,-0.59,-0.26
AR,0.91,0.51,0.06,-0.15
AZ,2.56,2.65,2.38,2.28
CA,2.65,2.67,2.73,2.96
CO,3.28,2.72,2.49,1.92
CT,4.77,2.77,2.97,2.68
DE,4.0,2.74,2.89,2.6
FL,2.31,1.68,1.71,2.09
GA,1.99,0.35,-0.02,0.58
IA,2.37,1.49,0.18,0.53
ID,2.54,1.86,1.88,1.26
IL,2.23,2.09,0.44,0.92
IN,2.23,1.9,0.12,0.85
KS,2.72,1.92,0.82,0.55
KY,1.5,0.93,-0.3,0.05
LA,0.62,0.36,0.36,0.41
MA,4.44,2.47,3.0,2.69
MD,3.42,2.19,2.27,2.03
ME,5.12,2.37,2.69,2.66
MI,4.34,3.05,2.03,1.97
MN,4.79,2.72,1.69,1.94
MO,2.03,1.38,0.0,-0.04
MS,0.61,0.06,-0.36,-0.19
MT,4.02,2.67,1.84,1.52
NC,2.09,0.87,0.76,0.84
ND,5.63,2.48,1.78,1.8
NE,3.19,2.03,0.94,0.9
NH,4.63,2.44,2.47,2.44
NJ,5.0,3.12,3.27,3.08
NM,2.49,2.2,2.07,1.78
NV,2.74,2.25,2.51,2.12
NY,3.77,1.96,1.38,1.77
OH,2.41,1.85,0.6,1.16
OK,1.66,0.87,0.11,-0.26
OR,3.3,2.25,2.86,2.33
PA,3.13,1.51,1.09,1.39
RI,4.88,3.17,3.97,3.08
SC,1.99,0.76,0.57,0.74
SD,4.12,1.97,1.46,1.25
TN,1.2,0.45,-0.02,0.06
TX,2.04,1.67,0.65,0.95
UT,3.31,2.6,3.09,2.49
VA,2.43,1.28,0.99,1.03
VT,4.65,2.44,1.98,2.34
WA,2.84,1.3,2.05,1.35
WI,4.09,2.06,0.97,1.29
WV,1.73,0.95,0.29,0.72
WY,3.61,2.9,2.22,1.87
